MHandle     MName                                                         MTypeHnd    MTypeName
0x108173    0298-cna-mgmt.lmig.com                                        0x3d0002    GnSNMPDev       
0x112ef3    0622-edmond-wae-01.lmig.com                                   0x2100cb    GnCiscoDev      
0x112c73    pdc-vmlnx1-00.lmig.com                                        0x10290     Pingable        
0x1116f3    10.94.20.103                                                  0x10290     Pingable        
0x107473    10.20.1.62                                                    0x10290     Pingable        
0x10ccf3    172.16.128.16                                                 0x2100b2    SwCiscoIOS      
0x1116fc    lx-corplab-02.lmig.com                                        0x1160089   Host_Device     
0x12f4fc    0246-plainfield-mpls-rtr1.lmig.com                            0x21000c    Rtr_Cisco       
0x10affc    172.25.7.225                                                  0x11c0013   SwCat6xxx       
0x103dfc    0055-blox-int-ns2.lmig.com                                    0x3d0002    GnSNMPDev       
0x103b7c    tsoe.lmig.com                                                 0x3d0002    GnSNMPDev       
0x10747c    10.20.1.174                                                   0x10290     Pingable        
0x10ccfc    172.16.128.47                                                 0x2100b2    SwCiscoIOS      
0x108705    njbond.ohio-casualty.com                                      0x21000c    Rtr_Cisco       
0x111705    IBM Remote Supervisor                                         0x3d0002    GnSNMPDev       
0x107485    10.21.1.126                                                   0x10290     Pingable        
0x10cd05    172.16.118.13                                                 0x2100b2    SwCiscoIOS      
0x11170e    bircht1.lmig.com                                              0x1160089   Host_Device     
0x10748e    10.21.1.162                                                   0x10290     Pingable        
0x10cd0e    172.16.118.18                                                 0x2100b2    SwCiscoIOS      
0x12f217    vm-hsspwfe-t23p.lmig.com                                      0x1160089   Host_Device     
0x108197    0461-cna-mgmt.lmig.com                                        0x3d0002    GnSNMPDev       
0x103d17    r-cs-0119-01-r.lmig.com                                       0x3d0002    GnSNMPDev       
0x12e797    0055-EC-Gwy-01.lmig.com                                       0x2100b2    SwCiscoIOS      
0x12f420    s016kdc.lmig.com                                              0x1160089   Host_Device     
0x1074a0    msp052vio1.lmig.com                                           0x10290     Pingable        
0x130929    PSMRDCTM01                                                    0x1160089   Host_Device     
0x103d29    newserver_from_build                                          0x1160069   Host_Compaq     
0x103b29    tsod.lmig.com                                                 0x3d0002    GnSNMPDev       
0x1074a9    p094pdc.lmig.com                                              0x10290     Pingable        
0x1073a9    10.1.0.10                                                     0x10290     Pingable        
0x1074b2    p3dcpdc.lmig.com                                              0x10290     Pingable        
0x1073b2    10.1.0.80                                                     0x10290     Pingable        
0x12f73b    0012-needham-mpls-rtr1.lmig.com                               0x21000c    Rtr_Cisco       
0x12f63b    0265-portjefferson-mpls-rtr1.lmig.com                         0x21000c    Rtr_Cisco       
0x1073bb    10.1.0.120                                                    0x10290     Pingable        
0x1127c4    r-cs-0260-01.lm.lmig.com                                      0x1160089   Host_Device     
0x1116c4    juniper_isg2000.lmig.com                                      0x21000c    Rtr_Cisco       
0x103c44    lm-dc-07.lm.lmig.com                                          0x1160069   Host_Compaq     
0x12f0c4    0055-lexnet-fw-01.lmig.com                                    0x10290     Pingable        
0x107444    10.11.7.1                                                     0x10290     Pingable        
0x1073c4    10.2.0.22                                                     0x10290     Pingable        
0x1085c4    catalyst-switch-decnet.lmig.com                               0x11c000b   HubCat5505      
0x11064d    0828-albany-mpls-rtr1.lmig.com                                0x21000c    Rtr_Cisco       
0x1077cd    0055-DR-6509-SW.lmig.com                                      0x11c0013   SwCat6xxx       
0x103c4d    147.179.129.135                                               0x1160069   Host_Compaq     
0x1116cd    s8720-a.lmig.com                                              0x10290     Pingable        
0x10744d    10.11.11.1                                                    0x10290     Pingable        
0x1073cd    10.2.0.140                                                    0x10290     Pingable        
0x12f1d6    0055-lin-nonprod-moss-bigip2.lmig.com                         0x3d0002    GnSNMPDev       
0x1116d6    lab-fw-02.lmig.com                                            0x10290     Pingable        
0x107456    10.11.14.1                                                    0x10290     Pingable        
0x105bdf    085a-mpls-a-rtr1.lmig.com                                     0x21000c    Rtr_Cisco       
0x1116df    liblab-0a85349f.lmig.com                                      0x10290     Pingable        
0x10745f    10.11.16.3                                                    0x10290     Pingable        
0x10b6df    10.7.20.194                                                   0x2100b2    SwCiscoIOS      
0x1083df    0055-NONPROD-A.lmig.com                                       0x2100b2    SwCiscoIOS      
0x103ce8    r-cs-0125-01.lm.lmig.com                                      0x1160089   Host_Device     
0x103c68    lm-dc-08.lm.lmig.com                                          0x1160069   Host_Compaq     
0x103d68    0055-blox-int-dhcp-01.lmig.com                                0x3d0002    GnSNMPDev       
0x1116e8    liblab-0b8e7015.lmig.com                                      0x10290     Pingable        
0x107468    10.12.18.1                                                    0x10290     Pingable        
0x104168    0096                                                          0x10290     Pingable        
0x10c1e8    172.31.62.7                                                   0x2100b2    SwCiscoIOS      
0x12f971    0065-boise-mpls-rtr1.lmig.com                                 0x21000c    Rtr_Cisco       
0x106571    0849-MURRYSVILLE-mpls-rtr1.lmig.com                           0x21000c    Rtr_Cisco       
0x103c71    lm-dc-09.lm.lmig.com                                          0x1160069   Host_Compaq     
0x10ccf1    172.16.120.232                                                0x4b60002   AirespaceSw     
0x1116f1    10.94.20.101                                                  0x10290     Pingable        
0x10c1f1    172.31.94.233                                                 0x2100b2    SwCiscoIOS      
0x10627a    0055-Portsmouth-MPLS-rtr1.lmig.com                            0x21000c    Rtr_Cisco       
0x10affa    172.25.7.228                                                  0x22e0021   HubBaySt450     
0x1116fa    10.94.20.132                                                  0x10290     Pingable        
0x10747a    10.20.1.90                                                    0x10290     Pingable        
0x10667a    Sprint                                                        0x1048f     Provider_Cloud  
0x10ccfa    172.16.128.31                                                 0x2100b2    SwCiscoIOS      
0x111703    scrabblepar1.lmig.com                                         0x1160089   Host_Device     
0x109583    moriah.lmig.com                                               0x1160089   Host_Device     
0x12f803    0017-ownigsmills-mpls-rtr1-lo10.lmig.com                      0x21000c    Rtr_Cisco       
0x107483    10.21.1.118                                                   0x10290     Pingable        
0x10cd03    172.16.118.9                                                  0x2100b2    SwCiscoIOS      
0x11170c    POC-DC-01                                                     0x1160089   Host_Device     
0x10650c    0451-KANSASCITY-mpls-rtr1.lmig.com                            0x21000c    Rtr_Cisco       
0x105c0c    085a-mpls-a-rtr2.lmig.com                                     0x21000c    Rtr_Cisco       
0x10748c    10.21.1.154                                                   0x10290     Pingable        
0x10cd0c    172.16.118.28                                                 0x2100b2    SwCiscoIOS      
0x103d15    r-cs-0108-01-r.lmig.com                                       0x3d0002    GnSNMPDev       
0x12f41e    lubbock.kc.lmig.com                                           0x1160089   Host_Device     
0x112e9e    0354-wausau-wae-01.lmig.com                                   0x2100cb    GnCiscoDev      
0x105327    lx-visablty-02                                                0x1160089   Host_Device     
0x106427    0029-PORTSMOUTH-mpls-rtr1.lmig.com                            0x21000c    Rtr_Cisco       
0x103da7    0055-blox-int-pmns1.lmig.com                                  0x3d0002    GnSNMPDev       
0x1074a7    p2ddpdc.lmig.com                                              0x10290     Pingable        
0x12e227    EC-PROD2.lmig.com                                             0x2100b2    SwCiscoIOS      
0x103e30    085a-blox-int-dhcp-02.lmig.com                                0x3d0002    GnSNMPDev       
0x1074b0    p3dapdc.lmig.com                                              0x10290     Pingable        
